Symbol,Description,Index,Market Capitalization,Universe,Average Volume (10 Day),Percentage Held by Institutions,Exchange,Sector,Industry,Sub-Industry
AAP,Advance Auto Parts Inc,S&P 600,$2B (Small),Domestic,"2,024,040",117%,NYS,Consumer Discretionary,Specialty Retail,Automotive Retail
ABEV,Ambev SA,--,$39B (Mid),International (ADR),"29,306,020",8%,NYS,Consumer Staples,Beverages,Brewers
ABG,Asbury Automotive Group Inc,"Russell 2000, S&P 600",$5B (Small),Domestic,"193,710",104%,NYS,Consumer Discretionary,Specialty Retail,Automotive Retail
ABNB,Airbnb Inc,S&P 500,$82B (Large),Domestic,"4,058,080",82%,NASDAQ,Consumer Discretionary,"Hotels, Restaurants & Leisure","Hotels, Resorts & Cruise Lines"
ACI,Albertsons Companies Inc,S&P 400,$9B (Mid),Domestic,"8,132,890",88%,NYS,Consumer Staples,Consumer Staples Distribution & Retail,Food Retail
AD,Array Digital Infrastructure Inc,--,$5B (Small),Domestic,"203,130",29%,NYS,Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
ADM,Archer-Daniels-Midland Co,S&P 500,$28B (Mid),Domestic,"2,531,530",85%,NYS,Consumer Staples,Food Products,Agricultural Products & Services
ADNT,Adient PLC,"Russell 2000, S&P 600",$2B (Micro),Domestic,"994,060",104%,NYS,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment
ADT,ADT Inc,--,$7B (Small),Domestic,"4,342,890",102%,NYS,Consumer Discretionary,Diversified Consumer Services,Specialized Consumer Services
AEO,American Eagle Outfitters Inc,"Russell 2000, S&P 600",$4B (Small),Domestic,"6,144,770",98%,NYS,Consumer Discretionary,Specialty Retail,Apparel Retail
AESI,Atlas Energy Solutions Inc,S&P 600,$1B (Micro),Domestic,"2,468,210",73%,NYS,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
AFYA,Afya Ltd,--,$1B (Micro),International (ADR),"108,920",19%,NASDAQ,Consumer Discretionary,Diversified Consumer Services,Education Services
AGRO,Adecoagro SA,--,$1B (Micro),International (ADR),"914,780",12%,NYS,Consumer Staples,Food Products,Packaged Foods & Meats
AKO/B,Embotelladora Andina SA,--,$2B (Small),International (ADR),"9,790",4%,NYS,Consumer Staples,Beverages,Soft Drinks & Non-alcoholic Beverages
ALV,Autoliv Inc,S&P 400,$9B (Mid),International (ADR),"471,380",71%,NYS,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment
AM,Antero Midstream Corp,S&P 400,$8B (Mid),Domestic,"2,679,430",57%,NYS,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Storage & Transportation
AMX,America Movil SAB de CV,--,$62B (Large),International (ADR),"2,304,500",6%,NYS,Communication Services,Wireless Telecommunication Services,Wireless Telecommunication Services
AMZN,Amazon.com Inc,S&P 500,$2T (Large),Domestic,"33,485,020",65%,NASDAQ,Consumer Discretionary,Broadline Retail,Broadline Retail
AN,AutoNation Inc,S&P 400,$8B (Small),Domestic,"364,510",94%,NYS,Consumer Discretionary,Specialty Retail,Automotive Retail
ANDE,Andersons Inc,"Russell 2000, S&P 600",$2B (Micro),Domestic,"353,560",83%,NASDAQ,Consumer Staples,Consumer Staples Distribution & Retail,Food Distributors
ANF,Abercrombie & Fitch Co,"Russell 2000, S&P 400",$6B (Small),Domestic,"1,731,090",97%,NYS,Consumer Discretionary,Specialty Retail,Apparel Retail
APA,APA Corp (US),S&P 500,$9B (Mid),Domestic,"4,431,870",96%,NASDAQ,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
APTV,Aptiv PLC,S&P 500,$16B (Mid),Domestic,"1,943,830",98%,NYS,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment
AR,Antero Resources Corp,"Russell 2000, S&P 400",$11B (Mid),Domestic,"3,765,750",85%,NYS,Energy,"Oil, Gas & Consumable Fuels",Oil & Gas Exploration & Production
ARCO,Arcos Dorados Holdings Inc,--,$2B (Micro),International (ADR),"813,870",47%,NYS,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
ARHS,Arhaus Inc,--,$2B (Micro),Domestic,"1,044,990",106%,NASDAQ,Consumer Discretionary,Specialty Retail,Homefurnishing Retail
ARLP,Alliance Resource Partners LP,--,$3B (Small),Domestic,"411,400",16%,NASDAQ,Energy,"Oil, Gas & Consumable Fuels",Coal & Consumable Fuels
ARMK,Aramark,S&P 400,$10B (Mid),Domestic,"1,650,830",99%,NYS,Consumer Discretionary,"Hotels, Restaurants & Leisure",Restaurants
AROC,Archrock Inc,"Russell 2000, S&P 600",$5B (Small),Domestic,"1,376,830",95%,NYS,Energy,Energy Equipment & Services,Oil & Gas Equipment & Services
