Ticker,Asset Class,Category,Subcategory,Notes
XLV,Equity,Sector,Healthcare,
XLE,Equity,Sector,Energy,
XLI,Equity,Sector,Industrials,
XLC,Equity,Sector,Communication Services,
XLY,Equity,Sector,Consumer Discretionary,
XLP,Equity,Sector,Consumer Staples,
XLU,Equity,Sector,Utilities,
XLB,Equity,Sector,Materials,
VGT,Equity,Sector,Technology,
XLF,Equity,Sector,Financials,
VNQ,Equity,Sector,Real Estate,
GUNR,Equity,Industry,Natural Resources,
TAN,Equity,Industry,Solar Energy,
ITA,Equity,Industry,Aerospace & Defense,
PAVE,Equity,Industry,Infrastructure,
GRID,Equity,Industry,Electric Energy,
KBWB,Equity,Industry,Banks,
ICLN,Equity,Industry,Clean Energy,
KRE,Equity,Industry,Regional Banks,
REM,Equity,Industry,Mortgage REITs,
IAK,Equity,Industry,Insurance,
WOOD,Equity,Industry,Timber & Forestry,
IGV,Equity,Industry,Software,
NLR,Equity,Industry,Nuclear Energy,
IHI,Equity,Industry,Medical Devices,
ITB,Equity,Industry,Home Construction,
XOP,Equity,Industry,Oil & Gas Exploration,
OIH,Equity,Industry,Oil Services,
JETS,Equity,Industry,Airlines,
IAI,Equity,Industry,Brokers & Exchanges,
KCE,Equity,Industry,Capital Markets,
SKYY,Equity,Industry,Cloud Computing,
PPH,Equity,Industry,Pharmaceuticals,
IYT,Equity,Industry,Transportation,
XRT,Equity,Industry,Retail,
IBB,Equity,Industry,Biotechnology,
AMLP,Equity,Industry,MLP Energy,
SMH,Equity,Industry,Semiconductors,
MOO,Equity,Industry,Agribusiness,
POWR,Equity,Industry,US Power Infrastructure,
MADE,Equity,Industry,US Manufacturing,
BOAT,Equity,Industry,Shipping,
BLOK,Crypto,Crypto,Blockchain,
IBIT,Crypto,Crypto,Bitcoin Spot ETF,
ETHA,Crypto,Crypto,Ethereum Spot ETF,
GSG,Commodity,Commodity,Broad Commodities,
XME,Commodity,Metals & Mining,Metals & Mining,
GDX,Commodity,Metals & Mining,Gold Miners,
COPX,Commodity,Metals & Mining,Copper Miners,
SIL,Commodity,Metals & Mining,Silver Miners,
IAU,Commodity,Precious Metals,Gold,
IAUM,Commodity,Precious Metals,Gold,
SLV,Commodity,Precious Metals,Silver,
CPER,Commodity,Industrial Metals,Copper,
PPLT,Commodity,Precious Metals,Platinum,
LIT,Commodity,Industrial Metals,Lithium,
USO,Commodity,Energy,Oil,
UNG,Commodity,Energy,Natural Gas,
URA,Commodity,Energy,Uranium,
BND,Fixed Income,Bonds,Total Bond Market,
LQD,Fixed Income,Bonds,Corporate Bonds,
CWB,Fixed Income,Bonds,Convertible Bonds,
TIP,Fixed Income,Bonds,TIPS,
SGOV,Fixed Income,Bonds,Ultra Short Treasury,1 to 3 month
SHV,Fixed Income,Bonds,Ultra Short Treasury,0 to 1 year
SHY,Fixed Income,Bonds,Short Term Treasury,1 to 3 year
ISTB,Fixed Income,Bonds,Short Term Bond,1 to 5 year
IEI,Fixed Income,Bonds,Intermediate Treasury,3 to 7 year
IEF,Fixed Income,Bonds,Intermediate Treasury,7 to 10 year
TLH,Fixed Income,Bonds,Long Treasury,10 to 20 year
TLT,Fixed Income,Bonds,Ultra Long Treasury,20+ year
SPMO,Equity,Factor,Momentum,
FNDX,Equity,Factor,Fundamental Weighting,
PFF,Equity,Factor,Income Preferred Shares,
VFLO,Equity,Factor,Free Cash Flow,
GRNY,Equity,Factor,Quality Strategy,
XYLD,Equity,Factor,Covered Call,
CAOS,Alternative,Strategy,Tail Risk Hedge,
FCPI,Equity,Factor,Inflation Sensitive,
VTI,Equity,Size & Style,Total Market,
VUG,Equity,Size & Style,Growth,
VTV,Equity,Size & Style,Value,
VIG,Equity,Size & Style,Dividend Growth,
IJR,Equity,Size & Style,Small Cap,
IJH,Equity,Size & Style,Mid Cap,
SPY,Equity,Size & Style,Large Cap,
VOO,Equity,Index,SP 500,
IWM,Equity,Index,Russell 2000,
DIA,Equity,Index,Dow Jones,
IWF,Equity,Index,Russell 1000 Growth,
IEMG,Equity,Broad,Emerging Markets,
VXUS,Equity,Broad,International Total,
VEA,Equity,Broad,Developed Markets,
